#Organism Name,Organism Groups,Strain,BioSample,BioProject,Level,Size(Mb),CDS,Genes,Host,RefSeq category,tRNA
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","S42","SAMN03252455","PRJNA269191","Complete",4.83881,4646,4937,"human",,86
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","27","SAMN07340891","PRJNA393749","Complete",2.81433,2700,2901,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0160","SAMN04015001","PRJNA292902","Complete",5.54725,5264,5580,"human",,86
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0075","SAMN04014916","PRJNA292904","Complete",5.96185,5773,6143,"human",,95
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","187","SAMN07340909","PRJNA393749","Complete",2.91316,2853,3063,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","S43","SAMN03252456","PRJNA269191","Complete",5.04371,4768,5145,"human",,88
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","F657","SAMN04383562","PRJNA279196","Complete",4.10423,3615,3964,"human",,51
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","AMR588-04-00320","SAMN05263515","PRJNA298211","Complete",4.89069,4750,5008,"human",,84
"Streptococcus equi subsp. equi 4047","Bacteria;Terrabacteria group;Firmicutes","4047","SAMEA2272426","PRJEA30765","Complete",2.25379,1997,2261,"human",,66
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","AMR588-04-00318","SAMN05263514","PRJNA298211","Complete",4.8904,4752,5010,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","F778","SAMN04383563","PRJNA279196","Complete",4.09079,3616,3957,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","H15","SAMN03252438","PRJNA269191","Complete",4.85797,4653,4959,"human",,85
"Streptococcus equi subsp. equi","Bacteria;Terrabacteria group;Firmicutes","ATCC 39506","SAMN07173892","PRJNA388268","Complete",2.27207,2208,2294,"human",,67
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","629","SAMN07340910","PRJNA393749","Complete",2.91333,2855,3064,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0097","SAMN04014938","PRJNA292904","Complete",5.70373,5503,5847,"human",,86
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0109","SAMN04014950","PRJNA292904","Complete",5.92483,5755,6110,"human",,87
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","422","SAMN07340902","PRJNA393749","Complete",2.82481,2709,2921,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","M1","SAMN03252439","PRJNA269191","Complete",5.14807,4977,5335,"human",,94
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","F934","SAMN04383564","PRJNA279196","Complete",4.10535,3623,3965,"human",,51
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","AMR588-04-00437","SAMN05263517","PRJNA298211","Complete",4.7914,4627,4877,"human",,84
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","SH13-004","SAMN04334640","PRJNA305824","Complete",4.78803,4626,4876,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","G085","SAMN04383565","PRJNA279196","Complete",4.10638,3624,3970,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","M3","SAMN03252440","PRJNA269191","Complete",5.14634,4975,5331,"human",,94
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","468","SAMN07340904","PRJNA393749","Complete",2.81396,2688,2878,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0046","SAMN04014887","PRJNA292904","Complete",5.76872,5544,5848,"human",,88
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","KP33","SAMD00110861","PRJDB5929","Complete",5.65649,5673,5673,"human",,0
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","128","SAMN07340901","PRJNA393749","Complete",2.82482,2710,2921,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","M6","SAMN03252441","PRJNA269191","Complete",5.31016,5047,5462,"human",,97
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","G807","SAMN04383566","PRJNA279196","Complete",4.1022,3630,3969,"human",,51
"Salmonella enterica subsp. enterica serovar Heidelberg","Bacteria;Proteobacteria;Gammaproteobacteria","SH14-009","SAMN04334653","PRJNA305824","Complete",4.89344,4769,5021,"human",,84
"Salmonella enterica","Bacteria;Proteobacteria;Gammaproteobacteria","FORC_019","SAMN03896006","PRJNA290698","Complete",4.79769,4632,4952,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","G965","SAMN04383567","PRJNA279196","Complete",4.10534,3623,3968,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","M8","SAMN03252442","PRJNA269191","Complete",5.04558,4936,5232,"human",,89
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","165","SAMN07340906","PRJNA393749","Complete",2.89291,2875,3060,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","KP64","SAMD00059741","PRJDB5929","Complete",5.72179,5591,5591,"human",,0
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","KP67","SAMD00059744","PRJDB5929","Complete",5.7218,5579,5579,"human",,0
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","277","SAMN07340900","PRJNA393749","Complete",2.80505,2677,2871,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","M9","SAMN03252443","PRJNA269191","Complete",5.30435,5049,5452,"human",,96
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","H348","SAMN04383568","PRJNA279196","Complete",4.10638,3622,3972,"human",,51
"Salmonella enterica subsp. enterica serovar Typhimurium","Bacteria;Proteobacteria;Gammaproteobacteria","NC983","SAMN04600271","PRJNA317167","Complete",4.94013,4796,5075,"human",,85
"Salmonella enterica subsp. enterica serovar Typhimurium","Bacteria;Proteobacteria;Gammaproteobacteria","ST931R","SAMN05356919","PRJNA327740","Complete",5.17249,5114,5382,"human",,85
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","H361","SAMN04383569","PRJNA279196","Complete",4.10743,3626,3970,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","M10","SAMN03252444","PRJNA269191","Complete",4.9548,4815,5109,"human",,89
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","61","SAMN07340897","PRJNA393749","Complete",2.91174,2853,3062,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","GSU10-3","SAMD00116246","PRJDB6962","Complete",5.84888,5669,5778,"human",,83
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","143","SAMN07340903","PRJNA393749","Complete",2.81391,2688,2878,"human",,59
"Klebsiella pneumoniae","Bacteria;Proteobacteria;Gammaproteobacteria","CNR48","SAMEA104569902","PRJEB24842","Complete",5.13867,4912,5178,"human",,89
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","M11","SAMN03252445","PRJNA269191","Complete",5.30613,5077,5481,"human",,97
"Salmonella enterica subsp. enterica serovar Typhimurium","Bacteria;Proteobacteria;Gammaproteobacteria","22792","SAMN05832872","PRJNA344760","Complete",4.90056,4646,4999,"human",,76
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","H533","SAMN04383570","PRJNA279196","Complete",4.10828,3629,3974,"human",,51
"Burkholderia cenocepacia","Bacteria;Proteobacteria;Betaproteobacteria","FL-5-3-30-S1-D7","SAMN03449242","PRJNA279182","Complete",6.33075,5514,5628,"human",,65
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","H540","SAMN04383571","PRJNA279196","Complete",4.10529,3625,3972,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","M15","SAMN03252446","PRJNA269191","Complete",5.3285,5077,5486,"human",,97
"Salmonella enterica subsp. enterica serovar Newport","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN001660","SAMN05172400","PRJNA186035","Complete",4.90172,4734,5002,"human",,84
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","466","SAMN07340905","PRJNA393749","Complete",2.81396,2689,2879,"human",,59
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","191","SAMN07340898","PRJNA393749","Complete",2.91174,2853,3062,"human",,59
"Salmonella enterica subsp. enterica serovar Newport","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN003890","SAMN05172402","PRJNA186035","Complete",5.0281,4900,5189,"human",,88
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","M18","SAMN03252447","PRJNA269191","Complete",5.16014,4994,5345,"human",,90
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","H636","SAMN04383572","PRJNA279196","Complete",4.10534,3624,3968,"human",,51
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","H876","SAMN04383573","PRJNA279196","Complete",4.10535,3623,3967,"human",,51
"Salmonella enterica subsp. enterica serovar Newport","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN003387","SAMN05172401","PRJNA186035","Complete",4.74697,4487,4763,"human",,84
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","M19","SAMN03252448","PRJNA269191","Complete",5.32715,5078,5483,"human",,93
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","85","SAMN07340899","PRJNA393749","Complete",2.80611,2679,2872,"human",,59
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","54","SAMN07340895","PRJNA393749","Complete",2.76828,2726,2877,"human",,60
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","S1","SAMN03252449","PRJNA269191","Complete",4.70721,4509,4917,"human",,91
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","I093","SAMN04383574","PRJNA279196","Complete",4.10153,3600,3968,"human",,51
"Salmonella enterica subsp. enterica serovar Newport","Bacteria;Proteobacteria;Gammaproteobacteria","0007-33","SAMN03744300","PRJNA285350","Complete",4.84674,4687,4941,"human",,86
"Salmonella enterica subsp. enterica serovar Typhimurium","Bacteria;Proteobacteria;Gammaproteobacteria","RM10961","SAMN04125698","PRJNA245322","Complete",4.85646,4688,4962,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J093","SAMN04383575","PRJNA279196","Complete",4.11375,3624,3977,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","S30","SAMN03252453","PRJNA269191","Complete",5.07285,4836,5299,"human",,86
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","45","SAMN07340893","PRJNA393749","Complete",2.75172,2674,2840,"human",,59
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","164","SAMN07340896","PRJNA393749","Complete",2.83081,2824,2980,"human",,60
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","S50","SAMN03252457","PRJNA269191","Complete",4.98172,4873,5239,"human",,91
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J097","SAMN04383576","PRJNA279196","Complete",4.10742,3617,3973,"human",,51
"Salmonella enterica subsp. enterica serovar Infantis","Bacteria;Proteobacteria;Gammaproteobacteria","FSIS1502169","SAMN04285042","PRJNA292666","Complete",5.05025,4817,5158,"human",,85
"Salmonella enterica subsp. enterica serovar Infantis","Bacteria;Proteobacteria;Gammaproteobacteria","FSIS1502916","SAMN04364590","PRJNA292666","Complete",5.05063,4825,5155,"human",,85
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J099","SAMN04383577","PRJNA279196","Complete",4.11268,3619,3979,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","C7","SAMN03252414","PRJNA269191","Complete",5.37241,5321,5698,"human",,86
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","78","SAMN07340892","PRJNA393749","Complete",2.85362,2731,2943,"human",,59
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","135","SAMN07340894","PRJNA393749","Complete",2.75172,2674,2840,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","S56","SAMN03252458","PRJNA269191","Complete",4.99252,4792,5195,"human",,90
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J103","SAMN04383578","PRJNA279196","Complete",4.10742,3619,3976,"human",,51
"Salmonella enterica subsp. enterica serovar Infantis","Bacteria;Proteobacteria;Gammaproteobacteria","N55391","SAMN03988471","PRJNA292661","Complete",5.04393,4817,5144,"human",,85
"Salmonella enterica subsp. enterica serovar Infantis","Bacteria;Proteobacteria;Gammaproteobacteria","CVM44454","SAMN05255999","PRJNA242614","Complete",5.04324,4817,5144,"human",,85
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J104","SAMN04383579","PRJNA279196","Complete",4.10848,3625,3975,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","S10","SAMN03252451","PRJNA269191","Complete",4.88621,4709,4991,"human",,95
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","545","SAMN07340908","PRJNA393749","Complete",2.9617,2968,3153,"human",,59
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","546","SAMN07340907","PRJNA393749","Complete",2.92049,2904,3091,"human",,59
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J120","SAMN04383581","PRJNA279196","Complete",4.10952,3630,3976,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","tolC-","SAMN06115651","PRJNA356505","Complete",4.7922,4637,4980,"human",,86
"Salmonella enterica subsp. enterica serovar Cerro","Bacteria;Proteobacteria;Gammaproteobacteria","87","SAMN02910521","PRJNA252640","Complete",4.60244,4383,4662,"human",,85
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","SLK172","SAMN05853574","PRJNA344951","Complete",5.77366,5620,6193,"human",,92
"Salmonella enterica subsp. enterica serovar Saintpaul","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN004175","SAMN05915911","PRJNA186035","Complete",4.859,4686,4928,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J121","SAMN04383582","PRJNA279196","Complete",4.10308,3622,3968,"human",,51
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","628","SAMN07340911","PRJNA393749","Complete",2.91177,2854,3062,"human",,59
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","WCH-SK2","SAMN03799496","PRJNA261650","Complete",2.91464,2861,3053,"human",,57
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","WCHEC050613","SAMN06197014","PRJNA418674","Complete",5.12717,4862,5373,"human",,87
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J122","SAMN04383583","PRJNA279196","Complete",4.1076,3619,3976,"human",,51
"Salmonella enterica subsp. enterica serovar Thompson","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN000738","SAMN06192066","PRJNA186035","Complete",4.7107,4488,4748,"human",,84
"Salmonella enterica subsp. enterica serovar Dublin str. ATCC 39184","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 39184","SAMN01041081","PRJNA41463","Complete",4.91714,4702,5047,"human",,81
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J124","SAMN04383584","PRJNA279196","Complete",4.10761,3619,3976,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","MGY","SAMN06227049","PRJNA361209","Complete",4.64328,4471,4786,"human",,87
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","199","SAMN08997833","PRJNA393749","Complete",2.89644,2887,3043,"human",,58
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","28","SAMN08997832","PRJNA393749","Complete",2.84178,2824,2985,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","NCTC86","SAMN06314933","PRJNA373816","Complete",5.11192,4813,5251,"human",,87
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J149","SAMN04383585","PRJNA279196","Complete",4.10564,3631,3972,"human",,51
"Salmonella enterica subsp. enterica serovar Saintpaul","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN004173","SAMN05915913","PRJNA186035","Complete",4.859,4685,4928,"human",,84
"Salmonella enterica subsp. enterica serovar Saintpaul","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN004174","SAMN05915912","PRJNA186035","Complete",4.859,4685,4928,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J155","SAMN04383587","PRJNA279196","Complete",4.10638,3623,3975,"human",,51
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","MDR_56","SAMN06344815","PRJNA375745","Complete",5.46531,5343,5880,"human",,84
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","82","SAMN08997831","PRJNA393749","Complete",2.84023,2823,2981,"human",,59
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","64","SAMN08997834","PRJNA393749","Complete",2.89644,2887,3043,"human",,58
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","Ecol_224","SAMN05511177","PRJNA316786","Complete",5.2231,5154,5551,"human",,93
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J159","SAMN04383588","PRJNA279196","Complete",4.10744,3625,3974,"human",,51
"Salmonella enterica subsp. enterica serovar Antsalova str. S01-0511","Bacteria;Proteobacteria;Gammaproteobacteria","S01-0511","SAMN04160831","PRJNA177204","Complete",4.64809,4460,4709,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J161","SAMN04383589","PRJNA279196","Complete",4.10638,3624,3974,"human",,51
"Salmonella enterica subsp. enterica serovar Senftenberg","Bacteria;Proteobacteria;Gammaproteobacteria","775W","SAMN05514141","PRJNA337942","Complete",5.26203,5021,5349,"human",,86
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","Ecol_276","SAMN05511184","PRJNA316786","Complete",5.12631,5045,5390,"human",,86
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","MOZ66","SAMN08997835","PRJNA393749","Complete",2.84658,2828,2982,"human",,59
"Staphylococcus aureus","Bacteria;Terrabacteria group;Firmicutes","CFBR-105","SAMN09847825","PRJNA480016","Complete",2.78274,2694,2858,"human",,59
"Escherichia coli","Bacteria;Proteobacteria;Gammaproteobacteria","Ecol_316","SAMN05511183","PRJNA316786","Complete",5.47114,5293,5683,"human",,89
"Salmonella enterica subsp. enterica serovar Enteritidis","Bacteria;Proteobacteria;Gammaproteobacteria","CFSAN051873","SAMN05414452","PRJNA186035","Complete",4.73849,4565,4841,"human",,84
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J162","SAMN04383590","PRJNA279196","Complete",4.10218,3613,3968,"human",,51
"Bordetella pertussis","Bacteria;Proteobacteria;Betaproteobacteria","J174","SAMN04383591","PRJNA279196","Complete",4.10866,3622,3976,"human",,51
