"t_number","org_code","aliases","full_name","definition","annotation","taxonomy","lineage","data_source","keywords","disease","comment","number_of_nucleotides","number_of_protein_genes","number_of_RNA_genes","created","type","detail","accession","length","accession2","tax_id"
"T00126","sma","STRAW, 227882","Streptomyces avermitilis","Streptomyces avermitilis MA-4680","manual","TAX: 227882","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000009765.1)            BioProject: 189",NA,NA,"Bacterium produces avermectins, a group of antiparasitic agents used in human and veterinary medicine",9119895,7676,89,2003,"Plasmid","SAP1","AP005645",94287,"AP005645","227882"
"T00691","sgr","STRGG, 455632","Streptomyces griseus","Streptomyces griseus subsp. griseus NBRC 13350","manual","TAX: 455632","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000010605.1)            BioProject: 20085",NA,NA,"Soil bacterium producing an antituberculosis agent.",8545929,7136,86,2008,"Chromosome","","AP009493",8545929,"AP009493","455632"
"T04209","sgb","1172567","Streptomyces globisporus","Streptomyces globisporus C-1027","KOALA","TAX: 1172567","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000261345.2)            BioProject: 158251",NA,NA,"Isolated from a soil sample collected in the Qian-jiang area of China.",7783599,6654,86,2016,"Chromosome","","CP013738",7608611,"CP013738","1172567"
"T04209","sgb","1172567","Streptomyces globisporus","Streptomyces globisporus C-1027","KOALA","TAX: 1172567","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000261345.2)            BioProject: 158251",NA,NA,"Isolated from a soil sample collected in the Qian-jiang area of China.",7783599,6654,86,2016,"Plasmid","SGLP1","CP013739",167754,"CP013739","1172567"
"T04209","sgb","1172567","Streptomyces globisporus","Streptomyces globisporus C-1027","KOALA","TAX: 1172567","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000261345.2)            BioProject: 158251",NA,NA,"Isolated from a soil sample collected in the Qian-jiang area of China.",7783599,6654,86,2016,"Plasmid","pSGL1; Circular","CP013740",7234,"CP013740","1172567"
"T01187","scb","680198","Streptomyces scabiei","Streptomyces scabiei 87.22","manual","TAX: 680198","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000091305.1)            BioProject: 46531","Plant pathogen",NA,"Isolated in Wisconsin, United States.            Causes scab disease on economically important root and tuber crops, the most important of which is potato.",10148695,8746,93,2010,"Chromosome","","FN554889",10148695,"FN554889","680198"
"T01601","ssx","862751","Streptomyces sp. SirexAA-E","Streptomyces sp. SirexAA-E","KOALA","TAX: 862751","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000177195.2)            BioProject: 38225",NA,NA,NA,7414440,6357,85,2011,"Chromosome","Circular","CP002993",7414440,"CP002993","862751"
"T01602","svl","653045","Streptomyces violaceusniger","Streptomyces violaceusniger Tu 4113","KOALA","TAX: 653045","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000147815.3)            BioProject: 43031",NA,NA,NA,11138313,8985,84,2011,"Chromosome","Circular","CP002994",10657107,"CP002994","653045"
"T01602","svl","653045","Streptomyces violaceusniger","Streptomyces violaceusniger Tu 4113","KOALA","TAX: 653045","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000147815.3)            BioProject: 43031",NA,NA,NA,11138313,8985,84,2011,"Plasmid","pSTRVI01; Circular","CP002995",290055,"CP002995","653045"
"T01602","svl","653045","Streptomyces violaceusniger","Streptomyces violaceusniger Tu 4113","KOALA","TAX: 653045","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000147815.3)            BioProject: 43031",NA,NA,NA,11138313,8985,84,2011,"Plasmid","pSTRVI02; Circular","CP002996",191151,"CP002996","653045"
"T01646","sct","1003195","Streptomyces cattleya NRRL 8057 = DSM 46488","Streptomyces cattleya NRRL 8057 = DSM 46488","KOALA","TAX: 1003195","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000237305.1)            BioProject: 65103",NA,NA,NA,8092553,7475,102,2011,"Chromosome","","FQ859185",6283062,"FQ859185","1003195"
"T01646","sct","1003195","Streptomyces cattleya NRRL 8057 = DSM 46488","Streptomyces cattleya NRRL 8057 = DSM 46488","KOALA","TAX: 1003195","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000237305.1)            BioProject: 65103",NA,NA,NA,8092553,7475,102,2011,"Plasmid","pSCAT","FQ859184",1809491,"FQ859184","1003195"
"T02095","scy","1003195","Streptomyces cattleya NRRL 8057 = DSM 46488","Streptomyces cattleya NRRL 8057 = DSM 46488","KOALA","TAX: 1003195","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000240165.1)            BioProject: 78941",NA,NA,NA,8095515,7569,82,2012,"Chromosome","","CP003219",6282967,"CP003219","1003195"
"T02095","scy","1003195","Streptomyces cattleya NRRL 8057 = DSM 46488","Streptomyces cattleya NRRL 8057 = DSM 46488","KOALA","TAX: 1003195","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000240165.1)            BioProject: 78941",NA,NA,NA,8095515,7569,82,2012,"Plasmid","pSCATT","CP003229",1812548,"CP003229","1003195"
"T01647","sfa","591167","Streptomyces pratensis","Streptomyces pratensis ATCC 33331","KOALA","TAX: 591167","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000176115.2)            BioProject: 33771",NA,NA,NA,7656104,6572,88,2011,"Chromosome","","CP002475",7337497,"CP002475","591167"
"T01647","sfa","591167","Streptomyces pratensis","Streptomyces pratensis ATCC 33331","KOALA","TAX: 591167","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000176115.2)            BioProject: 33771",NA,NA,NA,7656104,6572,88,2011,"Plasmid","pSFLA01","CP002476",188552,"CP002476","591167"
"T01647","sfa","591167","Streptomyces pratensis","Streptomyces pratensis ATCC 33331","KOALA","TAX: 591167","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000176115.2)            BioProject: 33771",NA,NA,NA,7656104,6572,88,2011,"Plasmid","pSFLA02","CP002477",130055,"CP002477","591167"
"T01678","sbh","749414","Streptomyces bingchenggensis","Streptomyces bingchenggensis BCW-1","KOALA","TAX: 749414","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000092385.1)            BioProject: 46847",NA,NA,"Isolated from a soil sample collected in Harbin, China.",11936683,10022,84,2012,"Chromosome","","CP002047",11936683,"CP002047","749414"
"T02063","shy","1133850","Streptomyces hygroscopicus subsp. jinggangensis 5008","Streptomyces hygroscopicus subsp. jinggangensis 5008","KOALA","TAX: 1133850","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000245355.1)            BioProject: 81087",NA,NA,NA,10383684,9108,87,2012,"Chromosome","","CP003275",10145833,"CP003275","1133850"
"T02063","shy","1133850","Streptomyces hygroscopicus subsp. jinggangensis 5008","Streptomyces hygroscopicus subsp. jinggangensis 5008","KOALA","TAX: 1133850","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000245355.1)            BioProject: 81087",NA,NA,NA,10383684,9108,87,2012,"Plasmid","pSHJG1","CP003276",164566,"CP003276","1133850"
"T02063","shy","1133850","Streptomyces hygroscopicus subsp. jinggangensis 5008","Streptomyces hygroscopicus subsp. jinggangensis 5008","KOALA","TAX: 1133850","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000245355.1)            BioProject: 81087",NA,NA,NA,10383684,9108,87,2012,"Plasmid","pSHJG2; Circular","CP003277",73285,"CP003277","1133850"
"T02531","sho","1203460","Streptomyces hygroscopicus subsp. jinggangensis TL01","Streptomyces hygroscopicus subsp. jinggangensis TL01","KOALA","TAX: 1203460","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000340845.1)            BioProject: 169410",NA,NA,NA,10077952,8878,87,2013,"Chromosome","","CP003720",9840102,"CP003720","1203460"
"T02531","sho","1203460","Streptomyces hygroscopicus subsp. jinggangensis TL01","Streptomyces hygroscopicus subsp. jinggangensis TL01","KOALA","TAX: 1203460","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000340845.1)            BioProject: 169410",NA,NA,NA,10077952,8878,87,2013,"Plasmid","pSHJGH1","CP003721",164565,"CP003721","1203460"
"T02531","sho","1203460","Streptomyces hygroscopicus subsp. jinggangensis TL01","Streptomyces hygroscopicus subsp. jinggangensis TL01","KOALA","TAX: 1203460","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000340845.1)            BioProject: 169410",NA,NA,NA,10077952,8878,87,2013,"Plasmid","pSHJGH2; Circular","CP003722",73285,"CP003722","1203460"
"T02274","sve","953739","Streptomyces venezuelae","Streptomyces venezuelae ATCC 10712","KOALA","TAX: 953739","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000253235.1)            BioProject: 62209",NA,NA,NA,8226158,7453,88,2012,"Chromosome","","FR845719",8226158,"FR845719","953739"
"T02518","sdv","1214101","Streptomyces davawensis","Streptomyces davawensis JCM 4913","KOALA","TAX: 1214101","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000349325.1)            BioProject: 177086",NA,NA,"Synthesizes the antibiotic roseoflavin, a structural riboflavin (vitamin B2) analog.",9555950,8616,81,2013,"Chromosome","","HE971709",9466619,"HE971709","1214101"
"T02518","sdv","1214101","Streptomyces davawensis","Streptomyces davawensis JCM 4913","KOALA","TAX: 1214101","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000349325.1)            BioProject: 177086",NA,NA,"Synthesizes the antibiotic roseoflavin, a structural riboflavin (vitamin B2) analog.",9555950,8616,81,2013,"Plasmid","pSDA1","HE971710",89331,"HE971710","1214101"
"T02545","salb","457425","Streptomyces albus J1074","Streptomyces albus J1074","KOALA","TAX: 457425","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000359525.1)            BioProject: 180996",NA,NA,NA,6841649,5832,87,2013,"Chromosome","","CP004370",6841649,"CP004370","457425"
"T03823","sals","1888","Streptomyces albus DSM 41398","Streptomyces albus DSM 41398","KOALA","TAX: 1888","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000827005.1)            BioProject: 271625",NA,NA,NA,8384669,7330,81,2015,"Chromosome","","CP010519",8384669,"CP010519","1888"
"T02619","strp","1265601","Streptomyces sp. PAMC 26508","Streptomyces sp. PAMC 26508","KOALA","TAX: 1265601","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000364805.1)            BioProject: 182709",NA,NA,NA,7630245,7073,85,2013,"Chromosome","","CP003990",7526197,"CP003990","1265601"
"T02619","strp","1265601","Streptomyces sp. PAMC 26508","Streptomyces sp. PAMC 26508","KOALA","TAX: 1265601","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000364805.1)            BioProject: 182709",NA,NA,NA,7630245,7073,85,2013,"Plasmid","pSP01; Circular","CP003991",104048,"CP003991","1265601"
"T02650","sfi","1303692","Streptomyces fulvissimus","Streptomyces fulvissimus DSM 40593","KOALA","TAX: 1303692","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000385945.1)            BioProject: 192408",NA,NA,NA,7905758,6925,91,2013,"Chromosome","Circular","CP005080",7905758,"CP005080","1303692"
"T02787","sci","1214242","Streptomyces collinus","Streptomyces collinus Tu 365","KOALA","TAX: 1214242","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000444875.1)            BioProject: 171216",NA,NA,"Isolated from a soil sample derived from the shore of the river Niger near Kouroussa (Guinea).",8377286,7113,90,2013,"Chromosome","Circular","CP006259",8272925,"CP006259","1214242"
"T02787","sci","1214242","Streptomyces collinus","Streptomyces collinus Tu 365","KOALA","TAX: 1214242","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000444875.1)            BioProject: 171216",NA,NA,"Isolated from a soil sample derived from the shore of the river Niger near Kouroussa (Guinea).",8377286,7113,90,2013,"Plasmid","pSCO1; Circular","CP006260",85047,"CP006260","1214242"
"T02787","sci","1214242","Streptomyces collinus","Streptomyces collinus Tu 365","KOALA","TAX: 1214242","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000444875.1)            BioProject: 171216",NA,NA,"Isolated from a soil sample derived from the shore of the river Niger near Kouroussa (Guinea).",8377286,7113,90,2013,"Plasmid","pSCO2; Circular","CP006261",19314,"CP006261","1214242"
"T02907","src","1343740","Streptomyces rapamycinicus","Streptomyces rapamycinicus NRRL 5491","KOALA","TAX: 1343740","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000418455.1)            BioProject: 207502",NA,NA,NA,12700734,10002,66,2013,"Chromosome","","CP006567",12700734,"CP006567","1343740"
"T03082","salu","68570","Streptomyces albulus NK660","Streptomyces albulus NK660","KOALA","TAX: 68570","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000695235.1)            BioProject: 242787",NA,NA,"Isolated from soil in Gutian, Fujian Province, China.",9372401,8086,91,2014,"Chromosome","","CP007574",9360281,"CP007574","68570"
"T03082","salu","68570","Streptomyces albulus NK660","Streptomyces albulus NK660","KOALA","TAX: 68570","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000695235.1)            BioProject: 242787",NA,NA,"Isolated from soil in Gutian, Fujian Province, China.",9372401,8086,91,2014,"Plasmid","pNKL; Circular","CP007575",12120,"CP007575","68570"
"T03896","sall","1434306","Streptomyces albulus ZPM","Streptomyces albulus ZPM","KOALA","TAX: 1434306","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000963515.1)            BioProject: 224122",NA,NA,"Isolated from the soil of Zi-Peng Mountain (ZPM) west of Hefei, China.",9784577,8191,90,2015,"Chromosome","","CP006871",9784577,"CP006871","1434306"
"T03222","slv","457428","Streptomyces lividans","Streptomyces lividans TK24","KOALA","TAX: 457428","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000739105.1)            BioProject: 257077",NA,NA,NA,8345283,7360,82,2014,"Chromosome","","CP009124",8345283,"CP009124","457428"
"T03327","sgu","1907","Streptomyces glaucescens","Streptomyces glaucescens GLA.O","KOALA","TAX: 1907","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000761215.1)            BioProject: 260814",NA,NA,"Isolated from a soil sample derived from Haiderabad/Hindustan in India.",7623774,6567,84,2014,"Chromosome","","CP009438",7453200,"CP009438","1907"
"T03327","sgu","1907","Streptomyces glaucescens","Streptomyces glaucescens GLA.O","KOALA","TAX: 1907","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000761215.1)            BioProject: 260814",NA,NA,"Isolated from a soil sample derived from Haiderabad/Hindustan in India.",7623774,6567,84,2014,"Plasmid","pSglau1","CP009439",170574,"CP009439","1907"
"T03586","svt","362257","Streptomyces vietnamensis","Streptomyces vietnamensis GIM4.0001","KOALA","TAX: 362257","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000830005.1)            BioProject: 244969",NA,NA,"Isolated from tropical forest soil.",9153777,7356,93,2015,"Chromosome","","CP010407",8867142,"CP010407","362257"
"T03586","svt","362257","Streptomyces vietnamensis","Streptomyces vietnamensis GIM4.0001","KOALA","TAX: 362257","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000830005.1)            BioProject: 244969",NA,NA,"Isolated from tropical forest soil.",9153777,7356,93,2015,"Plasmid","pSVL1","CP010408",286635,"CP010408","362257"
"T03587","stre","1262452","Streptomyces sp. 769","Streptomyces sp. 769","KOALA","TAX: 1262452","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000816025.1)            BioProject: 182073",NA,NA,NA,10338286,9553,86,2015,"Chromosome","","CP003987",10100774,"CP003987","1262452"
"T03587","stre","1262452","Streptomyces sp. 769","Streptomyces sp. 769","KOALA","TAX: 1262452","Bacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces","GenBank (Assembly: GCA_000816025.1)            BioProject: 182073",NA,NA,NA,10338286,9553,86,2015,"Plasmid","pSGZL; Circular","CP003988",237512,"CP003988","1262452"
